settlement_date,perfect_qr_availability_gbp,forecast_selected_qr_availability_gbp,naive_selected_qr_availability_gbp,forecast_capture_pct,naive_capture_pct,forecast_regret_gbp,naive_regret_gbp,forecast_mean_abs_commitment_error_mw,naive_mean_abs_commitment_error_mw,forecast_mean_pqr_mw,forecast_mean_nqr_mw,naive_mean_pqr_mw,naive_mean_nqr_mw,perfect_mean_pqr_mw,perfect_mean_nqr_mw
2026-05-25,2224.75,2096.75,2029.375,94.24654455556804,91.21811439487583,128.0,195.375,16.145833333333332,16.145833333333332,14.583333333333334,10.416666666666666,14.0625,9.895833333333334,20.833333333333332,3.6458333333333335
2026-05-26,2402.5,2330.875,1952.375,97.01873048907387,81.26430801248699,71.625,450.125,8.854166666666666,15.625,15.625,9.375,20.833333333333332,3.6458333333333335,14.0625,10.416666666666666
2026-05-27,1897.0,1864.0,1745.375,98.26041117554033,92.00711649973643,33.0,151.625,5.208333333333333,10.9375,15.104166666666666,9.895833333333334,14.0625,10.416666666666666,16.666666666666668,8.333333333333334
2026-05-28,2946.75,2822.125,2752.625,95.77076440145923,93.41223381691694,124.625,194.125,12.5,15.625,16.145833333333332,8.854166666666666,16.666666666666668,8.333333333333334,15.104166666666666,9.895833333333334
2026-05-29,3356.0,3212.125,3121.125,95.71290226460071,93.00134088200238,143.875,234.875,8.854166666666666,14.0625,15.104166666666666,9.895833333333334,15.104166666666666,9.895833333333334,13.020833333333334,11.458333333333334
2026-05-30,2067.0,1965.375,1848.5,95.08345428156748,89.42912433478472,101.625,218.5,10.9375,16.145833333333332,14.0625,9.375,13.020833333333334,11.458333333333334,20.3125,4.6875
2026-05-31,1717.25,1595.375,1672.5,92.90289707380987,97.39408938710147,121.875,44.75,11.979166666666666,4.166666666666667,15.104166666666666,9.375,20.3125,4.6875,19.270833333333332,5.729166666666667
2026-06-01,2434.0,2340.375,2298.25,96.15345110928513,94.4227608874281,93.625,135.75,12.5,10.416666666666666,16.145833333333332,8.854166666666666,19.270833333333332,5.729166666666667,16.145833333333332,8.854166666666666
2026-06-02,3116.125,3026.875,2978.0,97.13586585903967,95.56741144851378,89.25,138.125,8.854166666666666,9.895833333333334,16.145833333333332,8.854166666666666,16.145833333333332,8.854166666666666,12.5,11.979166666666666
2026-06-03,3317.875,3246.25,3031.125,97.84123874467845,91.35742003541424,71.625,286.75,9.375,9.895833333333334,15.104166666666666,9.895833333333334,12.5,11.979166666666666,15.104166666666666,8.854166666666666
2026-06-04,3879.625,3703.0,3550.125,95.44736926893708,91.50691110609917,176.625,329.5,6.770833333333333,14.0625,14.583333333333334,10.416666666666666,15.104166666666666,8.854166666666666,11.458333333333334,13.020833333333334
2026-06-05,2729.875,2402.25,2421.5,87.99853473144374,88.7036952241403,327.625,308.375,11.458333333333334,14.0625,14.583333333333334,10.416666666666666,11.458333333333334,13.020833333333334,10.9375,14.0625
2026-06-06,4646.625,3931.0,3758.5,84.59903693541011,80.88666505259194,715.625,888.125,11.979166666666666,15.625,13.020833333333334,10.416666666666666,10.9375,14.0625,18.75,6.25
2026-06-07,3477.625,3158.375,3153.75,90.8198842600913,90.686891197297,319.25,323.875,8.854166666666666,5.729166666666667,16.145833333333332,8.854166666666666,18.75,6.25,15.625,8.854166666666666
2026-06-08,2730.75,2577.75,2309.25,94.39714364185663,84.56468003295798,153.0,421.5,13.020833333333334,17.708333333333332,17.1875,7.8125,15.625,8.854166666666666,15.104166666666666,8.333333333333334
2026-06-09,3851.75,3709.0,3504.125,96.29389238657753,90.9748815473486,142.75,347.625,8.333333333333334,11.979166666666666,15.625,9.375,15.104166666666666,8.333333333333334,16.666666666666668,8.333333333333334
2026-06-10,2408.5,2231.75,2241.0,92.66140751505087,93.04546398173137,176.75,167.5,8.333333333333334,7.291666666666667,16.145833333333332,8.854166666666666,16.666666666666668,8.333333333333334,17.1875,7.8125
2026-06-11,2318.125,2018.125,2170.25,87.05850633593961,93.62092208142356,300.0,147.875,13.020833333333334,11.979166666666666,16.666666666666668,8.333333333333334,17.1875,7.8125,21.354166666666668,3.125
