service_date,delivery_start_utc,product,family,direction,window_hours,cleared_volume_mw,clearing_price_gbp_per_mw_per_hour,forecast_clearing_price_gbp_per_mw_per_hour,prior_same_window_price_gbp_per_mw_per_hour,naive_clearing_price_gbp_per_mw_per_hour
2026-05-01,2026-05-01 11:30:00+00:00,NSR,Slow Reserve,downward,0.5,0,0.0,0.0336270886960002,0.0,0.0
2026-05-01,2026-05-01 11:30:00+00:00,PBR,Balancing Reserve,upward,0.5,500,1.99,1.5227024139665315,1.8,1.8
2026-05-01,2026-05-01 11:30:00+00:00,PQR,Quick Reserve,upward,0.5,500,7.9,2.925587094743597,2.83,2.83
2026-05-01,2026-05-01 11:30:00+00:00,PSR,Slow Reserve,upward,0.5,1802,3.51,3.3859624254006273,2.0,2.0
2026-05-01,2026-05-01 12:00:00+00:00,NBR,Balancing Reserve,downward,0.5,0,0.0,0.0,0.0,0.0
2026-05-01,2026-05-01 12:00:00+00:00,NQR,Quick Reserve,downward,0.5,300,5.05,7.473885142492164,5.0,5.0
2026-05-01,2026-05-01 12:00:00+00:00,NSR,Slow Reserve,downward,0.5,0,0.0,0.0,0.0,0.0
2026-05-01,2026-05-01 12:00:00+00:00,PBR,Balancing Reserve,upward,0.5,500,2.18,1.6957965881221846,2.17,2.17
2026-05-01,2026-05-01 12:00:00+00:00,PQR,Quick Reserve,upward,0.5,500,1.75,2.029354089254033,0.48,0.48
2026-05-01,2026-05-01 12:00:00+00:00,PSR,Slow Reserve,upward,0.5,1802,3.51,3.363569965499901,2.0,2.0
2026-05-01,2026-05-01 12:30:00+00:00,NBR,Balancing Reserve,downward,0.5,0,0.0,0.0,0.0,0.0
2026-05-01,2026-05-01 12:30:00+00:00,NQR,Quick Reserve,downward,0.5,300,11.71,7.78799483697194,4.72,4.72
2026-05-01,2026-05-01 12:30:00+00:00,NSR,Slow Reserve,downward,0.5,0,0.0,0.0,0.0,0.0
2026-05-01,2026-05-01 12:30:00+00:00,PBR,Balancing Reserve,upward,0.5,495,2.16,1.8351778523232105,2.17,2.17
2026-05-01,2026-05-01 12:30:00+00:00,PQR,Quick Reserve,upward,0.5,500,1.75,2.303258348668744,2.56,2.56
2026-05-01,2026-05-01 12:30:00+00:00,PSR,Slow Reserve,upward,0.5,1802,3.51,3.338323352313329,2.0,2.0
2026-05-01,2026-05-01 13:00:00+00:00,NBR,Balancing Reserve,downward,0.5,0,0.0,0.0,0.0,0.0
2026-05-01,2026-05-01 13:00:00+00:00,NQR,Quick Reserve,downward,0.5,300,3.62,9.331644428511314,7.76,7.76
