settlement_date,settlement_period,wind_share,actual_mw,old_lower_mw,old_upper_mw,new_lower_mw,new_upper_mw
2026-04-23,12,1.0,17.68739286270843,15.92115203929649,27.404495981533948,15.89442331521791,25.76928088485178
2026-04-23,13,1.0,17.62505843852267,15.82833752233476,27.32247091354899,15.74701224377581,25.664936993707983
2026-04-23,14,1.0,17.29780271154745,15.08094133437376,26.977941907249804,14.498903036956658,24.49215486541544
2026-04-23,15,1.0,16.14461586411095,14.22466584059685,26.57447652071272,13.903384407640859,23.49448598176745
2026-04-23,16,1.0,15.739442106903532,13.305593295336621,25.830921536588402,13.3243715660419,22.72818712561087
2026-04-23,17,1.0,15.147265077138849,13.242854865940629,25.766699021959028,13.21613068079528,22.6533545843745
2026-04-23,18,1.0,15.16284868318529,12.32646328578657,21.92675935393784,11.65635453361825,20.98284492325194
2026-04-23,19,1.0,15.552438834346269,10.581457228959302,19.18942918584449,8.82005193944435,18.674741154194262
2026-04-23,20,1.0,15.552438834346269,10.62126948621971,19.15537960017554,8.61105469543553,18.5281396321188
2026-04-23,21,1.0,15.2095995013246,10.60511602922746,19.156682041515687,8.652216173001289,18.56930110968456
2026-04-23,22,1.0,15.97319619760012,11.152824900437128,19.727077597404758,9.4025142642296,19.37562250711862
2026-04-23,23,1.0,16.54978962131837,11.199705316249501,19.78310171978597,9.59170711660968,19.49258034386858
2026-04-23,24,1.0,16.95496337852579,11.31815778256131,19.92042219808804,10.03440499209589,19.843121811751978
2026-04-23,25,1.0,16.95496337852579,11.284214427477849,19.8990044758387,10.020467077696269,19.90388247820685
2026-04-23,26,1.0,17.20430107526881,11.779709499592302,21.19282011406545,10.968250174269901,20.58450074154959
2026-04-23,27,1.0,18.06139940782297,12.344958607060368,21.954171946021297,11.56354580495734,21.230670993418972
2026-04-23,28,1.0,18.07698301386941,12.44012797772373,22.41587751478686,11.87680380213504,21.4112384003411
2026-04-23,29,1.0,17.90556334735858,12.631315071625139,22.5748297141147,12.0581867397762,21.612928597332058
2026-04-23,30,1.0,17.25105189340813,12.986839576006782,25.006131901818257,12.97479199384792,22.762267662609702
2026-04-23,31,1.0,16.06669783387876,13.552104695082562,26.28944248114432,13.441771079886239,23.26935607215718
2026-04-23,32,1.0,16.92379616643291,13.543734712839973,26.281072498901736,13.38717454602778,23.16752922043092
2026-04-23,33,1.0,17.59389122642979,13.205444081068892,25.676637948794728,13.153049109679221,22.63287031254686
2026-04-23,34,1.0,17.45363877201184,13.52721528554048,26.264553071602244,13.36396852241256,22.941266327652208
2026-04-23,35,1.0,16.004363409693,12.859461399468008,24.89342953401952,13.010942549329311,22.343580255240898
2026-04-23,36,1.0,15.63035686457846,12.887739403487103,24.90703172929858,13.08205835111588,22.35996715512714
2026-04-23,37,1.0,15.16284868318529,12.64347008465605,22.59810234766725,11.96220717607151,21.33260180410004
2026-04-23,38,1.0,15.00701262272089,12.20558956919602,21.80673199063751,11.42555235664632,20.8429287662796
2026-04-23,39,1.0,15.34985195574255,12.30512333284086,21.91433667180179,11.74899221936396,21.221961676341742
2026-04-23,40,1.0,16.06669783387876,12.469483979333127,22.96709362490769,12.297703676546929,22.13473038028211
2026-04-23,41,1.0,17.53155680224404,14.30619311900234,26.745175282652735,15.11363778934749,25.45633243294125
2026-04-23,42,1.0,17.99906498363721,14.84990337982863,26.754044509731646,15.43865712025951,26.500721070245092
2026-04-23,43,1.0,18.34190431665887,15.052089706070229,26.949090278946276,15.71142658032318,26.695766839459722
2026-04-23,44,1.0,18.27956989247312,13.60245422864045,26.188317398722518,14.71696843167658,25.77809083273323
2026-04-23,45,1.0,17.68739286270843,12.448925651622659,22.16834353266502,12.982037991140169,23.86648119002501
2026-04-23,46,1.0,17.25105189340813,11.60492312830149,20.62600083804802,12.32760880867473,22.34018063936633
