settlement_date,evaluation_segment,perfect_foresight_margin_gbp,forecast_strategy_margin_gbp,naive_strategy_margin_gbp,reserve_aware_forecast_margin_gbp,reserve_corridor_feasible,mean_reserve_corridor_width_mwh
2025-08-16,development_oof,1453.535978355739,-627.0815804075793,-709.4210385800162,-404.6807096655943,True,114.93921869127233
2025-08-17,development_oof,2466.4621709610797,2138.4296444992333,427.83833365746545,1731.2972459791458,True,114.66632668366425
2025-08-18,development_oof,1486.5368935281213,-19.48879735726962,-1236.1958986057439,16.865703814712504,True,116.9878097344386
2025-08-19,development_oof,1024.892170758435,785.789805094665,-433.45694401845947,481.4162650880795,True,111.205970708427
2025-08-20,development_oof,2193.2239855906455,558.3776273809926,667.8053560280796,375.5807943388618,True,111.76754446211255
2025-08-21,development_oof,1411.339004063336,872.3965975620049,332.21175081652405,772.9904232634852,True,119.90326538942001
2025-08-22,development_oof,2960.91641064583,1700.8484334620534,2113.197416801834,1624.333335974688,True,118.38738886812882
2025-08-23,development_oof,1311.938207168222,509.16953013591,84.79020711135661,423.6223889857637,True,123.90132331190678
2025-08-24,development_oof,1347.0180279579326,792.1467694313856,224.66522982157943,474.17215531767187,True,119.68578627363907
2025-08-25,development_oof,10069.903757390774,7400.026399371882,8097.745896049852,6456.8638724638995,True,102.3752598787318
2025-08-26,development_oof,5237.712459303013,2703.641306299731,3117.2541981156355,2240.9260574197433,True,106.23668313914379
2025-08-27,development_oof,2415.0195097370233,1640.5228174800977,1597.0578899920947,1581.8895101701482,True,110.62491855656585
2025-08-28,development_oof,1608.6246917859517,673.5927177174271,896.0191289308768,628.3497938763494,True,104.65275758465953
2025-08-29,development_oof,5099.125653737378,3418.9732645114154,1997.1178423414676,3183.103940671626,True,114.45459336372117
2025-08-30,development_oof,6819.539511701401,2010.8912410273113,2286.2372500867086,1937.5181167824887,True,103.40552910547773
2025-08-31,development_oof,9447.078048394997,5990.580894994162,1969.976684734595,5341.460740173906,True,88.56917686632629
2025-09-01,development_oof,10393.131680007393,9184.479960214381,8866.072508900535,7778.505818158836,True,93.26973090881154
2025-09-02,development_oof,2154.8433746987375,-271.88038506491114,-1086.3302816917246,-244.4936695317533,True,113.54383380161705
2025-09-03,development_oof,3213.3431462150475,1530.3077208801965,-166.82951218999017,1583.251949937211,True,107.33354587156145
2025-09-04,development_oof,3294.587217233505,380.1510108603826,1653.0860110221765,609.6344306869587,True,116.46353363765769
2025-09-05,development_oof,3305.46867755909,2366.08527939948,-96.51602093700672,2110.5350040202766,True,117.48430550639235
2025-09-06,development_oof,13160.344288996323,7757.351488413412,-2824.6614951585225,6705.380308104601,True,103.13218594464179
2025-09-07,development_oof,7119.993054559814,4774.326632233677,1300.9404573350266,4056.4398137921107,True,102.29143202576476
2025-09-08,development_oof,15040.56500788624,10844.968668434683,7657.1380296347625,10599.883195283548,True,111.98198450158229
2025-09-09,development_oof,3106.7083333333376,2394.592460257372,2530.586597054855,2684.3163145304193,True,111.15681506270998
2025-09-10,development_oof,10408.541666666668,7937.916425978573,9166.43055555556,7500.427596282915,True,100.57998429389961
2025-09-11,development_oof,12282.829235709793,11416.609885430822,11373.069444444445,9145.767393230775,True,90.44696332039295
2025-09-12,development_oof,11631.000080761078,10737.907746304914,10593.290977805063,8746.28790002027,True,96.49970806725945
2025-09-13,development_oof,9688.164658609685,7567.992701452082,7041.610024026357,5595.192679219709,True,102.71667183760299
2025-09-14,development_oof,3713.901852203035,-811.6569434916885,-2735.3311197877715,547.5801686285615,True,102.1986833766063
2025-09-15,development_oof,9548.055307907944,7787.820890940712,-2551.974023691418,6123.4901974618015,True,87.85995638604305
2025-09-16,development_oof,9678.985516457973,7583.195504596777,7051.371951639976,5939.6546606766715,True,98.021069703852
2025-09-17,development_oof,9090.78264167661,6460.963936053597,3027.730885466607,6115.157507014809,True,100.79986392560481
2025-09-18,development_oof,7910.79601584697,5967.080146967695,3318.2825688829344,5097.599226142071,True,93.89822916858954
2025-09-19,development_oof,9783.3897193199,6287.054506652203,8188.230895541096,5399.574907324077,True,107.12851023557243
2025-09-20,development_oof,6734.764375661772,-3417.7802197613596,-2139.5177264736403,-1765.5722871656544,True,111.88369986823277
2025-09-21,development_oof,9612.790615492291,6631.560315632381,-9120.435407811716,5088.999424204952,True,110.58772981677204
2025-09-22,development_oof,3389.597810180572,2606.890389322616,54.037037739401285,2392.549585756828,True,114.7858510312321
2025-09-23,development_oof,3802.0233309811483,2480.01018728062,2372.6689996841524,2620.494369723546,True,123.20043453245046
2025-09-24,development_oof,2635.398468785187,2184.9032106158747,1501.7092989345222,2229.2927999583667,True,120.05743969350134
2025-09-25,development_oof,3457.2217100192843,1841.503389704148,1481.1151476992518,2093.5472425813955,True,110.94344350788992
2025-09-26,development_oof,1781.1111111111125,874.7585386808157,925.617294044057,776.157579944111,True,117.21829488298005
2025-09-27,development_oof,1628.4108396594129,1143.2123268526714,531.2222222222238,895.6249415933445,True,106.65258973365049
2025-09-28,development_oof,2454.5777216096144,1081.9312129023815,1339.117640338718,1017.3837525940712,True,121.38763363597724
2025-09-29,development_oof,4217.983028769053,2572.1310165180503,2235.437554242499,2659.408047369642,True,124.21130959180596
2025-09-30,development_oof,3612.9919495339564,2970.236201750452,3080.5160510502283,2661.6243620707337,True,119.96033241949097
2025-10-01,development_oof,3625.9789037722885,2525.16524786882,2977.134686838617,2297.541377534064,True,107.9689011434196
2025-10-02,development_oof,5807.2229112424175,2862.634732138128,3559.0292237472777,3067.2683087412133,True,100.33881054812427
2025-10-03,development_oof,11248.139307611713,5281.177287473411,9087.603536350382,5111.955066092853,True,93.5678906361651
2025-10-04,development_oof,2228.386191814386,389.16921875855166,-55.63086117338639,652.5357726952195,True,87.88066605574387
2025-10-05,development_oof,8666.292051951716,7985.499096139742,6459.949235952752,5404.783218294682,True,90.69529901955066
2025-10-06,development_oof,6487.742232643136,4586.823792611513,4870.508957060962,3408.892111017435,True,98.94775548158073
2025-10-07,development_oof,4199.835672412708,3213.811752154951,3225.205050732772,2664.5882262520113,True,108.67716161429472
2025-10-08,development_oof,3495.9992670590427,3023.3800247786085,2498.085486571838,2781.7910862816175,True,114.27775504198435
2025-10-09,development_oof,3755.7916666666697,3000.7522890967193,2937.4899558368097,3175.679312348375,True,105.85577826269518
2025-10-10,development_oof,1040.6546888661426,552.0164912483153,414.81944444444696,498.93757617810616,True,118.11475607970608
2025-10-11,development_oof,3253.159377812915,1063.598849591336,1052.2721974223944,650.9793637895013,True,124.52102837521208
2025-10-12,development_oof,2282.296965714929,-942.3545678112271,1761.1772102183236,-1065.2010615114539,True,126.44297439663585
2025-10-13,development_oof,16130.415646964091,10534.771344454557,12769.502883217743,8095.420398828156,True,131.8514065474104
2025-10-14,development_oof,6267.754830400575,5012.935623483596,5552.9828901130395,4784.740462191107,True,132.08732404271822
2025-10-15,development_oof,4915.573471623297,3362.6483899874247,4440.0195524403125,3130.6827507775006,True,132.82406509259135
2025-10-16,development_oof,3086.2840468886425,2684.687361323838,1798.3262961196408,2581.0466842011547,True,131.4175951727325
