product,margin_bin,quantity_bin,orders,accepted_fraction_sum,sample_class,source_month
DML,-1:-0.5,0:1,68,3.0,nonlooped_parent,202604
DML,-1:-0.5,10:25,220,25.0,nonlooped_parent,202604
DML,-1:-0.5,5:10,39,1.0,nonlooped_parent,202604
DML,-1:-0.5,>25,250,46.0,nonlooped_parent,202604
DML,-2:-1,0:1,106,6.0,nonlooped_parent,202604
DML,-2:-1,10:25,688,94.0,nonlooped_parent,202604
DML,-2:-1,1:5,8,2.0,nonlooped_parent,202604
DML,-2:-1,5:10,110,8.0,nonlooped_parent,202604
DML,-2:-1,>25,702,135.0,nonlooped_parent,202604
DML,-5:-2,0:1,271,31.0,nonlooped_parent,202604
DML,-5:-2,10:25,1867,251.0,nonlooped_parent,202604
DML,-5:-2,1:5,53,23.0,nonlooped_parent,202604
DML,-5:-2,5:10,386,41.0,nonlooped_parent,202604
DML,-5:-2,>25,2582,479.0,nonlooped_parent,202604
DML,0.5:1,0:1,27,1.0,nonlooped_parent,202604
DML,0.5:1,10:25,131,8.0,nonlooped_parent,202604
DML,0.5:1,1:5,3,0.0,nonlooped_parent,202604
DML,0.5:1,5:10,45,1.0,nonlooped_parent,202604
DML,0.5:1,>25,128,17.0,nonlooped_parent,202604
DML,0:0.5,0:1,38,0.0,nonlooped_parent,202604
DML,0:0.5,10:25,164,2.0,nonlooped_parent,202604
DML,0:0.5,1:5,3,1.0,nonlooped_parent,202604
DML,0:0.5,5:10,26,1.0,nonlooped_parent,202604
DML,0:0.5,>25,134,13.0,nonlooped_parent,202604
DML,1:2,0:1,33,2.0,nonlooped_parent,202604
DML,1:2,10:25,234,12.0,nonlooped_parent,202604
DML,1:2,1:5,5,3.0,nonlooped_parent,202604
DML,1:2,5:10,53,5.0,nonlooped_parent,202604
DML,1:2,>25,225,20.0,nonlooped_parent,202604
DML,2:5,0:1,25,0.0,nonlooped_parent,202604
DML,2:5,10:25,309,8.0,nonlooped_parent,202604
DML,2:5,1:5,6,0.0,nonlooped_parent,202604
DML,2:5,5:10,128,1.0,nonlooped_parent,202604
DML,2:5,>25,221,13.0,nonlooped_parent,202604
DML,<-10,0:1,4,1.0,nonlooped_parent,202604
DML,<-10,10:25,313,74.0,nonlooped_parent,202604
DML,<-10,1:5,3,1.0,nonlooped_parent,202604
DML,<-10,5:10,31,8.0,nonlooped_parent,202604
DML,<-10,>25,243,47.0,nonlooped_parent,202604
DML,>5,0:1,6,1.0,nonlooped_parent,202604
DML,>5,10:25,686,0.0,nonlooped_parent,202604
DML,>5,1:5,4,0.0,nonlooped_parent,202604
DML,>5,5:10,111,0.0,nonlooped_parent,202604
DML,>5,>25,336,0.0,nonlooped_parent,202604
DRH,-0.5:0,0:1,3,2.0,nonlooped_parent,202604
DRH,-0.5:0,10:25,93,18.0,nonlooped_parent,202604
DRH,-0.5:0,1:5,2,0.0,nonlooped_parent,202604
DRH,-0.5:0,5:10,32,9.0,nonlooped_parent,202604
DRH,-0.5:0,>25,145,19.0,nonlooped_parent,202604
DRH,-10:-5,0:1,4,4.0,nonlooped_parent,202604
DRH,-10:-5,10:25,263,119.0,nonlooped_parent,202604
DRH,-10:-5,1:5,15,7.0,nonlooped_parent,202604
DRH,-10:-5,5:10,97,58.0,nonlooped_parent,202604
DRH,-10:-5,>25,210,39.0,nonlooped_parent,202604
DRH,-1:-0.5,0:1,1,1.0,nonlooped_parent,202604
DRH,-1:-0.5,10:25,114,25.0,nonlooped_parent,202604
DRH,-1:-0.5,1:5,2,1.0,nonlooped_parent,202604
DRH,-1:-0.5,5:10,29,11.0,nonlooped_parent,202604
DRH,-1:-0.5,>25,104,30.0,nonlooped_parent,202604
DRH,-2:-1,0:1,2,2.0,nonlooped_parent,202604
DRH,-2:-1,10:25,172,63.0,nonlooped_parent,202604
DRH,-2:-1,1:5,5,1.0,nonlooped_parent,202604
DRH,-2:-1,5:10,44,22.0,nonlooped_parent,202604
DRH,-2:-1,>25,260,55.0,nonlooped_parent,202604
DRH,-5:-2,0:1,8,7.0,nonlooped_parent,202604
DRH,-5:-2,10:25,305,142.0,nonlooped_parent,202604
DRH,-5:-2,1:5,13,7.0,nonlooped_parent,202604
DRH,-5:-2,5:10,114,72.0,nonlooped_parent,202604
DRH,-5:-2,>25,391,111.0,nonlooped_parent,202604
DRH,0.5:1,0:1,2,1.0,nonlooped_parent,202604
DRH,0.5:1,10:25,102,7.0,nonlooped_parent,202604
DRH,0.5:1,1:5,6,1.0,nonlooped_parent,202604
DRH,0.5:1,5:10,18,0.0,nonlooped_parent,202604
DRH,0.5:1,>25,122,22.0,nonlooped_parent,202604
DRH,0:0.5,0:1,2,2.0,nonlooped_parent,202604
DRH,0:0.5,10:25,123,11.0,nonlooped_parent,202604
DRH,0:0.5,1:5,6,1.0,nonlooped_parent,202604
DRH,0:0.5,5:10,29,9.0,nonlooped_parent,202604
DRH,0:0.5,>25,115,19.0,nonlooped_parent,202604
DRH,1:2,0:1,3,3.0,nonlooped_parent,202604
DRH,1:2,10:25,183,23.0,nonlooped_parent,202604
