auction_id,product,family,direction,delivery_start_utc,delivery_end_utc,window_hours,cleared_volume_mw,clearing_price_gbp_per_mw_per_hour,minimum_mw,whole_mw,bm_required,response_seconds,energy_guard_hours
1114,DML,Dynamic Moderation,upward,2025-04-02 02:00:00+00:00,2025-04-02 06:00:00+00:00,4.0,300,5.81,1,True,False,1.0,0.5
1114,DRH,Dynamic Regulation,downward,2025-04-02 02:00:00+00:00,2025-04-02 06:00:00+00:00,4.0,392,12.36,1,True,False,10.0,1.0
1114,DRL,Dynamic Regulation,upward,2025-04-02 02:00:00+00:00,2025-04-02 06:00:00+00:00,4.0,480,9.75,1,True,False,10.0,1.0
1114,NQR,Quick Reserve,downward,2025-04-02 02:00:00+00:00,2025-04-02 02:30:00+00:00,0.5,93,10.33,1,True,False,60.0,1.0
1114,PQR,Quick Reserve,upward,2025-04-02 02:00:00+00:00,2025-04-02 02:30:00+00:00,0.5,300,1.0,1,True,False,60.0,1.0
1114,NQR,Quick Reserve,downward,2025-04-02 02:30:00+00:00,2025-04-02 03:00:00+00:00,0.5,69,7.23,1,True,False,60.0,1.0
1114,PQR,Quick Reserve,upward,2025-04-02 02:30:00+00:00,2025-04-02 03:00:00+00:00,0.5,300,1.0,1,True,False,60.0,1.0
1114,NQR,Quick Reserve,downward,2025-04-02 03:00:00+00:00,2025-04-02 03:30:00+00:00,0.5,68,9.89,1,True,False,60.0,1.0
1114,PQR,Quick Reserve,upward,2025-04-02 03:00:00+00:00,2025-04-02 03:30:00+00:00,0.5,300,1.0,1,True,False,60.0,1.0
1114,NQR,Quick Reserve,downward,2025-04-02 03:30:00+00:00,2025-04-02 04:00:00+00:00,0.5,1,0.0,1,True,False,60.0,1.0
1114,PQR,Quick Reserve,upward,2025-04-02 03:30:00+00:00,2025-04-02 04:00:00+00:00,0.5,300,1.0,1,True,False,60.0,1.0
1114,NQR,Quick Reserve,downward,2025-04-02 04:00:00+00:00,2025-04-02 04:30:00+00:00,0.5,1,0.0,1,True,False,60.0,1.0
1114,PQR,Quick Reserve,upward,2025-04-02 04:00:00+00:00,2025-04-02 04:30:00+00:00,0.5,300,1.0,1,True,False,60.0,1.0
1114,NQR,Quick Reserve,downward,2025-04-02 04:30:00+00:00,2025-04-02 05:00:00+00:00,0.5,1,0.0,1,True,False,60.0,1.0
1114,PQR,Quick Reserve,upward,2025-04-02 04:30:00+00:00,2025-04-02 05:00:00+00:00,0.5,500,1.0,1,True,False,60.0,1.0
1114,NQR,Quick Reserve,downward,2025-04-02 05:00:00+00:00,2025-04-02 05:30:00+00:00,0.5,7,3.0,1,True,False,60.0,1.0
1114,PQR,Quick Reserve,upward,2025-04-02 05:00:00+00:00,2025-04-02 05:30:00+00:00,0.5,500,1.0,1,True,False,60.0,1.0
1114,NQR,Quick Reserve,downward,2025-04-02 05:30:00+00:00,2025-04-02 06:00:00+00:00,0.5,68,9.89,1,True,False,60.0,1.0
1114,PQR,Quick Reserve,upward,2025-04-02 05:30:00+00:00,2025-04-02 06:00:00+00:00,0.5,450,1.95,1,True,False,60.0,1.0
