gsp_group,month,day_class,settlement_period,mean_daily_energy_share,observations
_L,12,weekday,15,0.020593772334549437,23
_L,12,weekday,16,0.02160588559228904,23
_L,12,weekday,17,0.022845818647481187,23
_L,12,weekday,18,0.02310113131787733,23
_L,12,weekday,19,0.02318247518219153,23
_L,12,weekday,20,0.02252640544804054,23
_L,12,weekday,21,0.021753258904489668,23
_L,12,weekday,22,0.021044058331952786,23
_L,12,weekday,23,0.020385850142466272,23
_L,12,weekday,24,0.020101132544583497,23
_L,12,weekday,25,0.02034225087675013,23
_L,12,weekday,26,0.02061572084939106,23
_L,12,weekday,27,0.020791983066982038,23
_L,12,weekday,28,0.020924637263617926,23
_L,12,weekday,29,0.02124824313257039,23
_L,12,weekday,30,0.02195974303729382,23
_L,12,weekday,31,0.02286993831137354,23
_L,12,weekday,32,0.02397075225908973,23
_L,12,weekday,33,0.025320016643425397,23
_L,12,weekday,34,0.026534707566553815,23
_L,12,weekday,35,0.027178826037871397,23
_L,12,weekday,36,0.027237362644302054,23
_L,12,weekday,37,0.026888959961013988,23
_L,12,weekday,38,0.02627944719928369,23
_L,12,weekday,39,0.025814696608658833,23
_L,12,weekday,40,0.024921276949302372,23
_L,12,weekday,41,0.02387850422725086,23
_L,12,weekday,42,0.022845789503245558,23
_L,12,weekday,43,0.02161651922338632,23
_L,12,weekday,44,0.020432426816285428,23
_L,12,weekday,45,0.019155585092156816,23
_L,12,weekday,46,0.018183717455191963,23
_L,12,weekday,47,0.016985684361700986,23
_L,12,weekday,48,0.016442541954041292,23
_M,1,saturday,1,0.01721970572992708,9
_M,1,saturday,2,0.01703300588014675,9
_M,1,saturday,3,0.016661079452769793,9
_M,1,saturday,4,0.016632246882679065,9
_M,1,saturday,5,0.015915630586118838,9
_M,1,saturday,6,0.01577060156999595,9
_M,1,saturday,7,0.015773236698529567,9
_M,1,saturday,8,0.015318225153360053,9
_M,1,saturday,9,0.015206296035130486,9
_M,1,saturday,10,0.015252045909254917,9
_M,1,saturday,11,0.015086515967470472,9
_M,1,saturday,12,0.015324283435361503,9
_M,1,saturday,13,0.016042480723143557,9
_M,1,saturday,14,0.016842586161803997,9
_M,1,saturday,15,0.018046524386805627,9
_M,1,saturday,16,0.018917734108867667,9
_M,1,saturday,17,0.020434380558767867,9
_M,1,saturday,18,0.021032758526828073,9
_M,1,saturday,19,0.022402206724054324,9
_M,1,saturday,20,0.022942631289202,9
_M,1,saturday,21,0.023411952911889185,9
_M,1,saturday,22,0.023641890506533973,9
_M,1,saturday,23,0.02345059128069421,9
_M,1,saturday,24,0.02344744092565687,9
_M,1,saturday,25,0.02362176931305652,9
_M,1,saturday,26,0.02343736514321815,9
_M,1,saturday,27,0.0230414159768812,9
_M,1,saturday,28,0.023028477462930616,9
_M,1,saturday,29,0.0230992875286006,9
_M,1,saturday,30,0.023107453430528765,9
_M,1,saturday,31,0.02355064983417491,9
_M,1,saturday,32,0.024109853237066395,9
_M,1,saturday,33,0.02533105991093998,9
_M,1,saturday,34,0.025964687531228256,9
_M,1,saturday,35,0.026845894800580937,9
_M,1,saturday,36,0.02625148021287929,9
_M,1,saturday,37,0.02584278359829538,9
_M,1,saturday,38,0.02601997886958449,9
_M,1,saturday,39,0.02556673915712845,9
_M,1,saturday,40,0.02486658433090052,9
_M,1,saturday,41,0.023811889869912405,9
_M,1,saturday,42,0.023124203805117413,9
_M,1,saturday,43,0.02195165407680268,9
_M,1,saturday,44,0.02116007551268632,9
_M,1,saturday,45,0.01989783898378065,9
_M,1,saturday,46,0.01934691357524166,9
_M,1,saturday,47,0.018019583047537664,9
_M,1,saturday,48,0.017196309385934916,9
_M,1,sunday,1,0.016835337277106004,8
_M,1,sunday,2,0.01686506756681235,8
_M,1,sunday,3,0.01636098045049622,8
_M,1,sunday,4,0.01597220036244006,8
_M,1,sunday,5,0.015549468833987716,8
_M,1,sunday,6,0.015492967545929619,8
_M,1,sunday,7,0.015069516399311766,8
_M,1,sunday,8,0.014652644253273209,8
_M,1,sunday,9,0.014393534730257583,8
_M,1,sunday,10,0.014314948046822783,8
_M,1,sunday,11,0.013926671443621228,8
_M,1,sunday,12,0.014122448209661182,8
_M,1,sunday,13,0.014969359886657095,8
_M,1,sunday,14,0.015245199389019182,8
_M,1,sunday,15,0.015718424659785794,8
_M,1,sunday,16,0.016326749764708586,8
_M,1,sunday,17,0.017640266351756497,8
_M,1,sunday,18,0.018285402710186673,8
_M,1,sunday,19,0.020549754678684702,8
_M,1,sunday,20,0.02081135150951025,8
_M,1,sunday,21,0.02187590710864493,8
_M,1,sunday,22,0.022737236408269766,8
_M,1,sunday,23,0.023716932771095288,8
_M,1,sunday,24,0.024106819259533577,8
_M,1,sunday,25,0.02492850637299183,8
_M,1,sunday,26,0.025093781655300237,8
_M,1,sunday,27,0.025231332335331293,8
_M,1,sunday,28,0.025601616274571557,8
_M,1,sunday,29,0.025435897257110915,8
_M,1,sunday,30,0.025720950624434216,8
_M,1,sunday,31,0.02581245879343231,8
_M,1,sunday,32,0.026430843154130874,8
_M,1,sunday,33,0.027340977760128275,8
_M,1,sunday,34,0.027545159633869856,8
_M,1,sunday,35,0.02784719350467376,8
_M,1,sunday,36,0.027379666547612893,8
_M,1,sunday,37,0.026850344096245964,8
_M,1,sunday,38,0.02657793534060329,8
_M,1,sunday,39,0.025874088915487335,8
_M,1,sunday,40,0.02533557696923207,8
_M,1,sunday,41,0.02448039472523686,8
_M,1,sunday,42,0.023520221839195478,8
_M,1,sunday,43,0.02208155140017922,8
_M,1,sunday,44,0.021168183385061042,8
_M,1,sunday,45,0.02010980490284416,8
_M,1,sunday,46,0.019163777946437983,8
_M,1,sunday,47,0.01772848540876863,8
_M,1,sunday,48,0.017202061539547904,8
_M,1,weekday,1,0.015371502641757049,45
_M,1,weekday,2,0.015541582596811727,45
_M,1,weekday,3,0.015308445732075987,45
_M,1,weekday,4,0.015061858233695524,45
_M,1,weekday,5,0.014744564038870507,45
_M,1,weekday,6,0.014480454828639033,45
_M,1,weekday,7,0.01425986091417597,45
_M,1,weekday,8,0.014081840628822794,45
_M,1,weekday,9,0.013859989975147,45
_M,1,weekday,10,0.014065894327412263,45
_M,1,weekday,11,0.014295797150718527,45
_M,1,weekday,12,0.015026388397498801,45
_M,1,weekday,13,0.01678007438899316,45
_M,1,weekday,14,0.01853980768884808,45
_M,1,weekday,15,0.020590453274183244,45
_M,1,weekday,16,0.02160220801841975,45
_M,1,weekday,17,0.022731575166707145,45
_M,1,weekday,18,0.023190480622765616,45
_M,1,weekday,19,0.024167218090867918,45
_M,1,weekday,20,0.02442093770305434,45
_M,1,weekday,21,0.02456282780109083,45
_M,1,weekday,22,0.024647471653710104,45
_M,1,weekday,23,0.024787795883913392,45
_M,1,weekday,24,0.024836617807069885,45
_M,1,weekday,25,0.02500645874134303,45
_M,1,weekday,26,0.0247241217517278,45
_M,1,weekday,27,0.024625384790823872,45
_M,1,weekday,28,0.024454871966670608,45
_M,1,weekday,29,0.024060809156609395,45
_M,1,weekday,30,0.02414229014803109,45
_M,1,weekday,31,0.02437549823688045,45
_M,1,weekday,32,0.024722889768598523,45
_M,1,weekday,33,0.025308962073475195,45
_M,1,weekday,34,0.025799699621067398,45
_M,1,weekday,35,0.026198232228314158,45
_M,1,weekday,36,0.025739789002706247,45
_M,1,weekday,37,0.02546243276276556,45
_M,1,weekday,38,0.024907823673169918,45
_M,1,weekday,39,0.024348100367527218,45
_M,1,weekday,40,0.023703690580268826,45
_M,1,weekday,41,0.023061323889464466,45
_M,1,weekday,42,0.022146595887140408,45
_M,1,weekday,43,0.021049675296621724,45
_M,1,weekday,44,0.019981388119165614,45
_M,1,weekday,45,0.018816707841844346,45
_M,1,weekday,46,0.0177649735370724,45
_M,1,weekday,47,0.016711341401097646,45
_M,1,weekday,48,0.015931291592365456,45
_M,2,saturday,1,0.01810238466341789,8
_M,2,saturday,2,0.01813009960749099,8
_M,2,saturday,3,0.017778778808658028,8
_M,2,saturday,4,0.017562113228718472,8
_M,2,saturday,5,0.017200075509731565,8
_M,2,saturday,6,0.016460837236746056,8
_M,2,saturday,7,0.016335907810378313,8
_M,2,saturday,8,0.01612816929191806,8
_M,2,saturday,9,0.015917279581196094,8
_M,2,saturday,10,0.015894426238207568,8
_M,2,saturday,11,0.01564778290857257,8
_M,2,saturday,12,0.015671070912090693,8
_M,2,saturday,13,0.01687614353605641,8
_M,2,saturday,14,0.017658541664556732,8
_M,2,saturday,15,0.018598197846523726,8
_M,2,saturday,16,0.018791721701790783,8
_M,2,saturday,17,0.020387556875535378,8
_M,2,saturday,18,0.021429317515559584,8
_M,2,saturday,19,0.0230922631980141,8
_M,2,saturday,20,0.02351384207675106,8
_M,2,saturday,21,0.023552455789151775,8
_M,2,saturday,22,0.023483790620386715,8
_M,2,saturday,23,0.02398023585640452,8
_M,2,saturday,24,0.023752682683126046,8
_M,2,saturday,25,0.023544464955110922,8
_M,2,saturday,26,0.02331207701605887,8
_M,2,saturday,27,0.02315703240877972,8
_M,2,saturday,28,0.02314582943634945,8
_M,2,saturday,29,0.02284061245978437,8
_M,2,saturday,30,0.02309471341715482,8
_M,2,saturday,31,0.02333694364096941,8
_M,2,saturday,32,0.023628521254206468,8
_M,2,saturday,33,0.024288819879958054,8
_M,2,saturday,34,0.02478561566891392,8
_M,2,saturday,35,0.025688999912988543,8
_M,2,saturday,36,0.02587571225612201,8
_M,2,saturday,37,0.02547845641843267,8
_M,2,saturday,38,0.025144049381628474,8
_M,2,saturday,39,0.024696894882319007,8
_M,2,saturday,40,0.024239600765899687,8
_M,2,saturday,41,0.023491403314844606,8
_M,2,saturday,42,0.022748662218418307,8
_M,2,saturday,43,0.021372805038441148,8
_M,2,saturday,44,0.020661624562370664,8
_M,2,saturday,45,0.018797823946300498,8
_M,2,saturday,46,0.01788623188796892,8
_M,2,saturday,47,0.016928460091750346,8
_M,2,saturday,48,0.015908970024245985,8
_M,2,sunday,1,0.017616651227397674,8
_M,2,sunday,2,0.017685518528575545,8
_M,2,sunday,3,0.017105766673165317,8
_M,2,sunday,4,0.016392997480031965,8
_M,2,sunday,5,0.01592233017501469,8
_M,2,sunday,6,0.01537270399448827,8
_M,2,sunday,7,0.014899070464721423,8
_M,2,sunday,8,0.015283254948527829,8
_M,2,sunday,9,0.014642634466158943,8
_M,2,sunday,10,0.014597858057447798,8
_M,2,sunday,11,0.014223138147330732,8
_M,2,sunday,12,0.014422209798313202,8
_M,2,sunday,13,0.015096435926309803,8
_M,2,sunday,14,0.01548489008507798,8
_M,2,sunday,15,0.016283000275451737,8
_M,2,sunday,16,0.01691003453375376,8
_M,2,sunday,17,0.01833242935008689,8
_M,2,sunday,18,0.0187265633602893,8
_M,2,sunday,19,0.020213259314064865,8
_M,2,sunday,20,0.020438654246997146,8
_M,2,sunday,21,0.021766939473695714,8
_M,2,sunday,22,0.022136183198227282,8
_M,2,sunday,23,0.02267931945234013,8
_M,2,sunday,24,0.023001258625279197,8
_M,2,sunday,25,0.023316180507917166,8
_M,2,sunday,26,0.024138470259391972,8
_M,2,sunday,27,0.024539400902664293,8
_M,2,sunday,28,0.024936804921363846,8
_M,2,sunday,29,0.024597226261551485,8
_M,2,sunday,30,0.0249917718364171,8
_M,2,sunday,31,0.025461278030998773,8
_M,2,sunday,32,0.02629355575269034,8
_M,2,sunday,33,0.026852331951306745,8
_M,2,sunday,34,0.027311268151676015,8
_M,2,sunday,35,0.02795114667357114,8
_M,2,sunday,36,0.027910567886787294,8
_M,2,sunday,37,0.02704800566489693,8
_M,2,sunday,38,0.02707017070282742,8
_M,2,sunday,39,0.02643909322107777,8
_M,2,sunday,40,0.02553443068075297,8
_M,2,sunday,41,0.02461088123394052,8
_M,2,sunday,42,0.023980260434193587,8
_M,2,sunday,43,0.022521869228775193,8
_M,2,sunday,44,0.021681321911260557,8
_M,2,sunday,45,0.02028188807379191,8
_M,2,sunday,46,0.018938614310603195,8
_M,2,sunday,47,0.01765002240445205,8
_M,2,sunday,48,0.016710337194344522,8
_M,2,weekday,1,0.015760843227383255,40
_M,2,weekday,2,0.01597777937060564,40
_M,2,weekday,3,0.015747358009967207,40
_M,2,weekday,4,0.0154199242801993,40
_M,2,weekday,5,0.015143239176325044,40
_M,2,weekday,6,0.014991611305449579,40
_M,2,weekday,7,0.014613886695343484,40
_M,2,weekday,8,0.014450400530754831,40
_M,2,weekday,9,0.014225110289641074,40
_M,2,weekday,10,0.014349904053046472,40
_M,2,weekday,11,0.01436632055172532,40
_M,2,weekday,12,0.015169291524241277,40
_M,2,weekday,13,0.017079179495533708,40
_M,2,weekday,14,0.018863139961207386,40
_M,2,weekday,15,0.020868182682990448,40
_M,2,weekday,16,0.021656082135713645,40
_M,2,weekday,17,0.023169561917125,40
_M,2,weekday,18,0.0235470955952523,40
_M,2,weekday,19,0.024293476104431576,40
_M,2,weekday,20,0.024247404735427212,40
_M,2,weekday,21,0.02422252686849431,40
_M,2,weekday,22,0.024248339192897542,40
_M,2,weekday,23,0.024401315106000524,40
_M,2,weekday,24,0.02421784442527638,40
_M,2,weekday,25,0.024071545629372297,40
_M,2,weekday,26,0.023952685944409604,40
_M,2,weekday,27,0.023809996525638262,40
_M,2,weekday,28,0.02377993521258657,40
_M,2,weekday,29,0.023532013786969903,40
_M,2,weekday,30,0.02363528038657758,40
_M,2,weekday,31,0.023573266917184955,40
_M,2,weekday,32,0.02412520463703022,40
_M,2,weekday,33,0.024641864910570053,40
_M,2,weekday,34,0.025275061495649433,40
_M,2,weekday,35,0.02584215114059042,40
_M,2,weekday,36,0.025731666547880033,40
_M,2,weekday,37,0.02552556281383108,40
_M,2,weekday,38,0.02504561223901335,40
_M,2,weekday,39,0.02482880284928876,40
_M,2,weekday,40,0.024212485728540862,40
_M,2,weekday,41,0.023356664791670156,40
_M,2,weekday,42,0.022475837341764435,40
_M,2,weekday,43,0.021338142085441943,40
_M,2,weekday,44,0.020151649047895424,40
_M,2,weekday,45,0.01897972761707045,40
_M,2,weekday,46,0.017867760581689096,40
_M,2,weekday,47,0.01700238378128487,40
_M,2,weekday,48,0.01621488075301774,40
_M,3,saturday,1,0.019629340900583367,9
_M,3,saturday,2,0.020059047815253903,9
_M,3,saturday,3,0.0196511124447414,9
