bmUnit,settlementDate,settlementPeriod,pair_count,bid_mean,offer_mean,spread,accepted,accepted_up,accepted_down
V__MCEND001,2026-09-01,38,2,153.55,168.55,15.0,1,1,1
V__MCEND001,2026-09-01,39,2,115.0,172.5,57.5,1,1,1
V__MCEND001,2026-09-01,40,1,115.0,130.0,15.0,1,0,0
V__MCEND001,2026-09-01,41,1,120.0,135.0,15.0,0,0,0
V__MCEND001,2026-09-01,42,2,160.0,175.0,15.0,0,0,0
V__MCEND001,2026-09-01,43,2,120.0,175.0,55.0,1,0,1
V__MCEND001,2026-09-01,44,2,160.0,175.0,15.0,1,1,1
V__MCEND001,2026-09-01,45,2,160.0,175.0,15.0,1,1,1
V__MCEND001,2026-09-01,46,2,160.0,175.0,15.0,1,1,0
V__MCEND001,2026-09-01,47,2,137.5,152.5,15.0,1,1,1
V__MCEND001,2026-09-01,48,2,139.01999999999998,154.01999999999998,15.0,0,0,0
V__MCEND001,2026-09-02,1,2,139.535,154.535,15.0,1,0,1
V__MCEND001,2026-09-02,2,2,142.425,157.425,15.0,0,0,0
V__MCEND001,2026-09-02,3,2,145.08499999999998,160.08499999999998,15.0,0,0,0
V__MCEND001,2026-09-02,4,2,144.25,159.25,15.0,0,0,0
V__MCEND001,2026-09-02,5,2,150.535,165.535,15.0,0,0,0
V__MCEND001,2026-09-02,6,2,148.255,163.255,15.0,1,1,1
V__MCEND001,2026-09-02,7,2,145.505,160.505,15.0,0,0,0
V__MCEND001,2026-09-02,8,1,185.32,200.32,15.0,0,0,0
V__MCEND001,2026-09-02,9,2,149.125,164.125,15.0,0,0,0
V__MCEND001,2026-09-02,10,2,149.64,164.64,15.0,0,0,0
V__MCEND001,2026-09-02,11,2,148.22,163.22,15.0,0,0,0
V__MCEND001,2026-09-02,12,2,148.39499999999998,163.39499999999998,15.0,0,0,0
V__MCEND001,2026-09-02,13,2,157.4,172.4,15.0,0,0,0
V__MCEND001,2026-09-02,14,1,105.0,120.0,15.0,0,0,0
