power_mw,duration_hours,energy_mwh,classification,development_overall_absorbed_pct,development_days_meeting_target_pct,development_days80_pct,development_days90_pct,development_days95_pct,development_p05_daily_absorbed_pct,development_median_daily_absorbed_pct,locked_overall_absorbed_pct,locked_days_meeting_target_pct,locked_days80_pct,locked_days90_pct,locked_days95_pct,locked_p05_daily_absorbed_pct,locked_median_daily_absorbed_pct,full_overall_absorbed_pct,full_days_meeting_target_pct,full_days80_pct,full_days90_pct,full_days95_pct,power_limited_periods,energy_limited_periods,equivalent_full_cycles,grid_reset_import_mwh,grid_reset_export_mwh,mean_daily_grid_reset_import_mwh,ending_soc_pct,wind_share_pct,design_operating_mode
50.0,2.0,100.0,short-duration BESS,87.7115840654113,85.27777777777777,88.88888888888889,85.27777777777777,82.77777777777777,57.338296114206535,100.0,87.05776937111753,75.55555555555556,84.44444444444444,75.55555555555556,73.33333333333333,56.551069751411276,100.0,87.55750268561184,83.33333333333334,88.0,83.33333333333334,80.88888888888889,0,882,83.01640393175714,5097.542435197017,3960.5853562576376,11.327872078215593,39.62714638197121,0,grid_connected_daily_soc_restore_50pct
100.0,1.0,100.0,short-duration BESS,87.7115840654113,85.27777777777777,88.88888888888889,85.27777777777777,82.77777777777777,57.338296114206535,100.0,87.05776937111753,75.55555555555556,84.44444444444444,75.55555555555556,73.33333333333333,56.551069751411276,100.0,87.55750268561184,83.33333333333334,88.0,83.33333333333334,80.88888888888889,0,882,83.01640393175714,5097.542435197017,3960.5853562576376,11.327872078215593,39.62714638197121,0,grid_connected_daily_soc_restore_50pct
5.0,24.0,120.0,long-duration storage territory,80.67445932846722,61.94444444444444,76.94444444444444,61.94444444444444,51.388888888888886,58.76348979026611,95.75386619561189,81.3650846580102,55.55555555555556,72.22222222222221,55.55555555555556,44.44444444444444,57.86293259623486,92.2835338693954,80.83721569449747,60.66666666666667,76.0,60.66666666666667,50.0,1891,120,63.87054930545802,4820.1756116795705,3430.407023175658,10.711501359287935,41.932094180476646,0,grid_connected_daily_soc_restore_50pct
10.0,12.0,120.0,extended-duration BESS,91.12917543518492,89.44444444444444,92.22222222222223,89.44444444444444,86.11111111111111,68.09642879557164,100.0,91.38838725851414,85.55555555555556,88.88888888888889,85.55555555555556,82.22222222222221,67.61221817447647,100.0,91.19026264498224,88.66666666666667,91.55555555555556,88.66666666666667,85.33333333333334,358,500,72.05062812227052,5497.661860876733,4134.893329007321,12.217026357503851,41.355955318309356,0,grid_connected_daily_soc_restore_50pct
15.0,8.0,120.0,extended-duration BESS,91.62447256853267,90.0,92.22222222222223,90.0,88.33333333333333,68.09642879557163,100.0,91.81387118407807,85.55555555555556,88.88888888888889,85.55555555555556,84.44444444444444,67.61221817447647,100.0,91.66910723378268,89.11111111111111,91.55555555555556,89.11111111111111,87.55555555555556,59,600,72.42896954157688,5537.896498831674,4165.262335325034,12.306436664070386,41.355955318309356,0,grid_connected_daily_soc_restore_50pct
20.0,6.0,120.0,extended-duration BESS,91.62579423677882,90.0,92.22222222222223,90.0,88.33333333333333,68.09642879557163,100.0,91.81387118407807,85.55555555555556,88.88888888888889,85.55555555555556,84.44444444444444,67.61221817447647,100.0,91.67011743079885,89.11111111111111,91.55555555555556,89.11111111111111,87.55555555555556,7,602,72.42976771155065,5538.066775092743,4165.262335325034,12.306815055761652,41.355955318309356,0,grid_connected_daily_soc_restore_50pct
30.0,4.0,120.0,short-duration BESS,91.62579423677882,90.0,92.22222222222223,90.0,88.33333333333333,68.09642879557163,100.0,91.81387118407807,85.55555555555556,88.88888888888889,85.55555555555556,84.44444444444444,67.61221817447647,100.0,91.67011743079885,89.11111111111111,91.55555555555556,89.11111111111111,87.55555555555556,0,602,72.42976771155065,5538.066775092743,4165.262335325034,12.306815055761652,41.355955318309356,0,grid_connected_daily_soc_restore_50pct
60.0,2.0,120.0,short-duration BESS,91.62579423677882,90.0,92.22222222222223,90.0,88.33333333333333,68.09642879557163,100.0,91.81387118407807,85.55555555555556,88.88888888888889,85.55555555555556,84.44444444444444,67.61221817447647,100.0,91.67011743079885,89.11111111111111,91.55555555555556,89.11111111111111,87.55555555555556,0,602,72.42976771155065,5538.066775092743,4165.262335325034,12.306815055761652,41.355955318309356,0,grid_connected_daily_soc_restore_50pct
25.0,6.0,150.0,extended-duration BESS,95.41564236636304,93.88888888888889,95.83333333333334,93.88888888888889,93.05555555555556,84.5161785650591,100.0,96.08890671297353,91.11111111111111,96.66666666666667,91.11111111111111,90.0,83.95690656018688,100.0,95.57430735263654,93.33333333333333,96.0,93.33333333333333,92.44444444444444,1,341,60.411615691183094,5977.236944339282,4342.579626974943,13.282748765198404,43.084764254647425,0,grid_connected_daily_soc_restore_50pct
75.0,2.0,150.0,short-duration BESS,95.41564236636304,93.88888888888889,95.83333333333334,93.88888888888889,93.05555555555556,84.5161785650591,100.0,96.08890671297353,91.11111111111111,96.66666666666667,91.11111111111111,90.0,83.95690656018688,100.0,95.57430735263654,93.33333333333333,96.0,93.33333333333333,92.44444444444444,0,341,60.411615691183094,5977.236944339282,4342.579626974943,13.282748765198404,43.084764254647425,0,grid_connected_daily_soc_restore_50pct
