portfolio_type,settlement_date,gross_exposure_before_gbp,gross_exposure_after_gbp,signed_cashflow_before_gbp,signed_cashflow_after_gbp,absolute_imbalance_before_mwh,absolute_imbalance_after_mwh,peak_system_price_gbp_per_mwh,gross_exposure_reduction_gbp
mixed,2025-10-08,3662.934142520715,2528.384907217329,-2555.3263130059117,-2528.384907217329,40.611339709261244,27.416188526887957,136.59,1134.549235303386
mixed,2025-10-09,3793.3008749004775,1945.4803270665818,-868.0815196556513,-1945.4803270665818,40.571571961516185,21.542823385173214,134.09,1847.8205478338957
mixed,2025-10-10,7196.52816652518,104.32878021865542,-126.59279736676797,104.32878021865542,79.27451728528062,1.226600541016328,140.99,7092.1993863065245
mixed,2025-10-11,5102.410556263973,499.38315434714127,3343.711258322409,499.38315434714127,49.91206506837012,5.450867501187481,144.12,4603.027401916832
mixed,2025-10-12,6789.036176064446,5998.064181093794,6095.601507034673,5998.064181093794,53.189555078727395,46.787705591689445,154.0,790.9719949706523
mixed,2025-10-13,5957.378104942765,4471.385358886159,4959.101998161733,4471.385358886159,35.28723143861819,23.637785796109362,487.0,1485.992746056606
mixed,2025-10-14,4546.671515368298,4430.934729121691,4387.087256272297,4430.934729121691,42.727661452414196,41.16153327650606,300.0,115.73678624660715
mixed,2025-10-15,3112.265098864181,1963.6144057989643,1993.9900153271165,1963.6144057989643,30.39081137095789,16.98929163732982,264.0,1148.6506930652165
mixed,2025-10-16,2429.4296120545805,1936.2542290717458,1927.0740157560522,1936.2542290717458,31.685231557477238,25.708300720595645,147.0,493.17538298283466
mixed,2025-10-17,6462.06883042736,5325.160464088633,5523.665579297901,5325.160464088633,69.47039400137601,58.18249881039624,134.5,1136.9083663387273
mixed,2025-10-18,6505.016086632399,4251.952167919406,1998.888249206413,4251.952167919406,73.13278000574519,47.80833660726567,118.9,2253.0639187129927
mixed,2025-10-19,7090.769793872366,5922.291820044654,-6938.307926431846,-5769.829952604134,113.54483414112886,96.70557540403,108.62,1168.477973827712
